architecture	signal_strength	source_regime	method	dominant_source_fraction	mean_dependency_group_size	label_noise_fraction	metric	successes	replicates	rate	ci95_low	ci95_high	mean_margin	median_margin
full	0.35	homogeneous	raw_pooled	0.5	5	0.3	full_route_recovered	364	400	0.91	0.8775801131096775	0.9361685268073168	0.055531607234427745	0.0557029177718833
full	0.35	homogeneous	raw_pooled	0.5	15	0.0	full_route_recovered	400	400	1.0	0.9908201954163347	1.0	0.20568582085442036	0.20684675511329587
full	0.35	homogeneous	raw_pooled	0.5	15	0.15	full_route_recovered	400	400	1.0	0.9908201954163347	1.0	0.12332964001564996	0.1240202152324147
full	0.35	homogeneous	raw_pooled	0.5	15	0.3	full_route_recovered	386	400	0.965	0.9419727383175839	0.9807355334141201	0.05944917075416008	0.059556626037028854
full	0.35	homogeneous	raw_pooled	0.85	1	0.0	full_route_recovered	400	400	1.0	0.9908201954163347	1.0	0.2054083333333333	0.2066666666666666
full	0.35	homogeneous	raw_pooled	0.85	1	0.15	full_route_recovered	389	400	0.9725	0.9513284510919109	0.9861938697657968	0.11359166666666663	0.1133333333333333
full	0.35	homogeneous	raw_pooled	0.85	1	0.3	full_route_recovered	231	400	0.5775	0.5274187537798454	0.6264260383305205	0.043674999999999964	0.0433333333333333
full	0.35	homogeneous	raw_pooled	0.85	5	0.0	full_route_recovered	400	400	1.0	0.9908201954163347	1.0	0.20277909152691842	0.20459115722920654
full	0.35	homogeneous	raw_pooled	0.85	5	0.15	full_route_recovered	397	400	0.9925	0.9782393314855828	0.9984506410500943	0.11765358344819571	0.11792748128470405
full	0.35	homogeneous	raw_pooled	0.85	5	0.3	full_route_recovered	362	400	0.905	0.8719393540049798	0.9318932844768992	0.055102649033674095	0.055612231756498154
full	0.35	homogeneous	raw_pooled	0.85	15	0.0	full_route_recovered	400	400	1.0	0.9908201954163347	1.0	0.2048709901996584	0.20464386817068841
full	0.35	homogeneous	raw_pooled	0.85	15	0.15	full_route_recovered	399	400	0.9975	0.9861502300379867	0.9999367074830952	0.12205585854522717	0.12265054537120179
full	0.35	homogeneous	raw_pooled	0.85	15	0.3	full_route_recovered	393	400	0.9825	0.9642771264063807	0.9929358717792461	0.06040424952326367	0.060669194655110045
full	0.35	homogeneous	source_equal	0.2	1	0.0	full_route_recovered	400	400	1.0	0.9908201954163347	1.0	0.20298298602510342	0.2039400219173351
full	0.35	homogeneous	source_equal	0.2	1	0.15	full_route_recovered	384	400	0.96	0.9358539890609492	0.9769666042594511	0.11187388621092531	0.11306221639993805
full	0.35	homogeneous	source_equal	0.2	1	0.3	full_route_recovered	203	400	0.5075	0.45735749030173156	0.5575307582636716	0.042914228084921006	0.04322176870403645
full	0.35	homogeneous	source_equal	0.2	5	0.0	full_route_recovered	400	400	1.0	0.9908201954163347	1.0	0.20217801936538105	0.2008220393289094
full	0.35	homogeneous	source_equal	0.2	5	0.15	full_route_recovered	399	400	0.9975	0.9861502300379867	0.9999367074830952	0.11860425374665182	0.1176874102842018
full	0.35	homogeneous	source_equal	0.2	5	0.3	full_route_recovered	355	400	0.8875	0.8523725139001577	0.9167484723131367	0.05547769210586871	0.0574176557804705
full	0.35	homogeneous	source_equal	0.2	15	0.0	full_route_recovered	399	400	0.9975	0.9861502300379867	0.9999367074830952	0.20186423406423734	0.20299296158521107
full	0.35	homogeneous	source_equal	0.2	15	0.15	full_route_recovered	399	400	0.9975	0.9861502300379867	0.9999367074830952	0.12038316966191397	0.1214369876225561
full	0.35	homogeneous	source_equal	0.2	15	0.3	full_route_recovered	389	400	0.9725	0.9513284510919109	0.9861938697657968	0.05926685331962536	0.0602552583386213
full	0.35	homogeneous	source_equal	0.5	1	0.0	full_route_recovered	400	400	1.0	0.9908201954163347	1.0	0.19765264269045957	0.19693864816158105
full	0.35	homogeneous	source_equal	0.5	1	0.15	full_route_recovered	350	400	0.875	0.8385413405693943	0.905781485313414	0.10571647900975269	0.1065646615610486
full	0.35	homogeneous	source_equal	0.5	1	0.3	full_route_recovered	129	400	0.3225	0.27690439153249924	0.37074620942673303	0.035195165784756434	0.0359350813631635
full	0.35	homogeneous	source_equal	0.5	5	0.0	full_route_recovered	395	400	0.9875	0.9710716562147131	0.9959291641554002	0.19291016597639518	0.19501441128711533
full	0.35	homogeneous	source_equal	0.5	5	0.15	full_route_recovered	392	400	0.98	0.9609737232883799	0.9913268296308817	0.1168423931461004	0.11642076066835749
full	0.35	homogeneous	source_equal	0.5	5	0.3	full_route_recovered	298	400	0.745	0.6993188865622982	0.7870136196943998	0.052039032374251504	0.054058084802061854
full	0.35	homogeneous	source_equal	0.5	15	0.0	full_route_recovered	398	400	0.995	0.9820558553944145	0.9993939021906778	0.19886448870414233	0.19704251053295901
full	0.35	homogeneous	source_equal	0.5	15	0.15	full_route_recovered	397	400	0.9925	0.9782393314855828	0.9984506410500943	0.11838312033974546	0.1178082583676973
full	0.35	homogeneous	source_equal	0.5	15	0.3	full_route_recovered	362	400	0.905	0.8719393540049798	0.9318932844768992	0.057159845727543374	0.0577348865020129
full	0.35	homogeneous	source_equal	0.85	1	0.0	full_route_recovered	301	400	0.7525	0.7071807630306682	0.7940381191299262	0.17059932269237543	0.17223089595033925
full	0.35	homogeneous	source_equal	0.85	1	0.15	full_route_recovered	135	400	0.3375	0.291263828310552	0.3861618399001938	0.0814680671069535	0.08178308804354155
full	0.35	homogeneous	source_equal	0.85	1	0.3	full_route_recovered	43	400	0.1075	0.07889779765376308	0.14206282395589742	0.011414795025323023	0.01569122763898515
full	0.35	homogeneous	source_equal	0.85	5	0.0	full_route_recovered	303	400	0.7575	0.7124313881178148	0.7987116531130092	0.16750186065857625	0.1752717473073066
full	0.35	homogeneous	source_equal	0.85	5	0.15	full_route_recovered	193	400	0.4825	0.4325681000986893	0.5326926573811865	0.09007107135711498	0.0899140134471307
full	0.35	homogeneous	source_equal	0.85	5	0.3	full_route_recovered	114	400	0.285	0.24124583784783515	0.3319685860349872	0.03472330942266059	0.03502823618331345
